x,t,u
2.9,1.5,0.108448116964874
3,1.5,0.0983091038673977
0.1,1.6,0.455466096741098
0.2,1.6,0.453130586073958
0.3,1.6,0.449266449294581
0.4,1.6,0.443915676662564
0.5,1.6,0.437135909593994
0.6,1.6,0.428999335894184
0.7,1.6,0.419591324916385
0.8,1.6,0.409008841236528
0.9,1.6,0.397358680780045
1,1.6,0.384755577014477
1.1,1.6,0.371320226747404
1.2,1.6,0.35717728524329
1.3,1.6,0.342453378874138
1.4,1.6,0.327275180497452
1.5,1.6,0.311767588419111
1.6,1.6,0.296052044400811
1.7,1.6,0.280245019992059
1.8,1.6,0.264456693797281
1.9,1.6,0.248789835418153
2,1.6,0.233338905010903
2.1,1.6,0.218189370910741
2.2,1.6,0.203417241806298
2.3,1.6,0.189088804658495
2.4,1.6,0.175260555067904
2.5,1.6,0.161979303173863
2.6,1.6,0.149282435445865
2.7,1.6,0.1371983108924
2.8,1.6,0.125746769220563
2.9,1.6,0.114939728260354
3,1.6,0.104781848429693
0.1,1.7,0.441360990810722
0.2,1.7,0.439241600963705
0.3,1.7,0.435733312605662
0.4,1.7,0.430871710578728
0.5,1.7,0.42470571194341
0.6,1.7,0.417296693543034
0.7,1.7,0.408717410907543
0.8,1.7,0.399050736871168
0.9,1.7,0.388388252398257
1,1.7,0.376828725087167
1.1,1.7,0.364476512583346
1.2,1.7,0.351439928663119
1.3,1.7,0.337829609084875
1.4,1.7,0.323756912527705
1.5,1.7,0.30933238917356
1.6,1.7,0.294664345894861
1.7,1.7,0.279857532765566
1.8,1.7,0.265011970913621
1.9,1.7,0.250221936773311
2,1.7,0.235575112768517
2.1,1.7,0.221151909539484
2.2,1.7,0.207024960173325
2.3,1.7,0.193258782643869
2.4,1.7,0.17990960291295
2.5,1.7,0.167025327966537
2.6,1.7,0.15464565549939
2.7,1.7,0.142802305037596
2.8,1.7,0.131519353990321
2.9,1.7,0.120813661420023
3,1.7,0.110695362165691
0.1,1.8,0.428484787835575
0.2,1.8,0.426550258860482
0.3,1.8,0.423346595675068
0.4,1.8,0.418904260796594
0.5,1.8,0.413265180939907
0.6,1.8,0.406482047982869
0.7,1.8,0.398617450469815
0.8,1.8,0.389742856912988
0.9,1.8,0.379937475360344
1,1.8,0.369287016103907
1.1,1.8,0.357882385949145
1.2,1.8,0.345818343130963
1.3,1.8,0.333192141759566
1.4,1.8,0.320102193655637
1.5,1.8,0.306646773664502
1.6,1.8,0.292922792122461
1.7,1.8,0.27902465520318
1.8,1.8,0.26504323052766
1.9,1.8,0.251064931813544
2,1.8,0.237170932603451
2.1,1.8,0.223436515376852
2.2,1.8,0.209930558733989
2.3,1.8,0.196715161947193
2.4,1.8,0.18384540309073
2.5,1.8,0.171369224252044
2.6,1.8,0.159327435041909
2.7,1.8,0.147753823786026
2.8,1.8,0.136675364404987
2.9,1.8,0.126112506065413
3,1.8,0.116079532190379
0.1,1.9,0.416669489647176
0.2,1.9,0.414894521406147
0.3,1.9,0.411953979419684
0.4,1.9,0.407874175807683
0.5,1.9,0.402691363696791
0.6,1.9,0.396451169861587
0.7,1.9,0.389207888214255
0.8,1.9,0.381023650341366
0.9,1.9,0.371967491811316
1,1.9,0.362114334926363
1.1,1.9,0.351543909923656
1.2,1.9,0.340339637318399
1.3,1.9,0.328587494131886
1.4,1.9,0.316374886182605
1.5,1.9,0.303789547486021
1.6,1.9,0.290918486171589
1.7,1.9,0.27784699426207
1.8,1.9,0.26465773625844
1.9,1.9,0.251429928827888
2,1.9,0.23823862109877
2.1,1.9,0.225154082219184
2.2,1.9,0.212241300023831
2.3,1.9,0.199559591957462
2.4,1.9,0.187162326892121
2.5,1.9,0.175096754206918
2.6,1.9,0.163403934517203
2.7,1.9,0.152118764775017
2.8,1.9,0.141270089131731
2.9,1.9,0.130880885961118
3,1.9,0.120968520780077
0.1,2,0.405777473299218
0.2,2,0.404141345246796
0.3,2,0.401429899578439
0.4,2,0.397666045925958
0.5,2,0.392881379285304
0.6,2,0.387115714203502
0.7,2,0.380416503555891
0.8,2,0.372838154442444
0.9,2,0.364441255739104
1,2,0.355291733428543
1.1,2,0.345459950968201
1.2,2,0.335019772612312
1.3,2,0.324047607785816
1.4,2,0.312621454324712
1.5,2,0.300819957677818
1.6,2,0.288721502050105
1.7,2,0.276403348010243
1.8,2,0.263940829345198
1.9,2,0.25140661998883
2,2,0.238870079748555
2.1,2,0.226396685373259
2.2,2,0.214047551313371
2.3,2,0.201879042382437
2.4,2,0.189942478494
2.5,2,0.178283929765751
2.6,2,0.166944098593385
2.7,2,0.155958283828638
2.8,2,0.145356420969252
2.9,2,0.135163191293619
3,2,0.125398192151236
0.1,2.1,0.39569479963755
0.2,2.1,0.394180360839036
0.3,2.1,0.391669823599746
0.4,2.1,0.388183278762587
0.5,2.1,0.38374845720909
0.6,2.1,0.378400343447972
0.7,2.1,0.372180692611301
0.8,2.1,0.365137460680171
0.9,2.1,0.357324159372814
1,2.1,0.348799148428828
1.1,2.1,0.33962487898487
1.2,2.1,0.329867102342579
1.3,2.1,0.319594058673315
1.4,2.1,0.308875660092801
1.5,2.1,0.297782682089096
1.6,2.1,0.286385976526519
1.7,2.1,0.274755718411583
1.8,2.1,0.262960697336781
1.9,2.1,0.251067663061137
2,2.1,0.239140733092724
2.1,2.1,0.227240868458728
2.2,2.1,0.215425422133279
2.3,2.1,0.20374776288982
2.4,2.1,0.1922569756971
2.5,2.1,0.18099763822469
2.6,2.1,0.170009671598174
2.7,2.1,0.159328262272137
2.8,2.1,0.14898385079045
2.9,2.1,0.139002182290883
3,2.1,0.129404412891042
0.1,2.2,0.38632623389929
0.2,2.2,0.384919151745911
0.3,2.2,0.38258594868322
0.4,2.2,0.379344358128877
0.5,2.2,0.375218875511162
0.6,2.2,0.370240434723654
0.7,2.2,0.364446003063715
0.8,2.2,0.357878102449017
0.9,2.2,0.350584266011204
1,2.2,0.34261644023723
1.1,2.2,0.334030343644096
1.2,2.2,0.324884793516884
1.3,2.2,0.315241012507103
1.4,2.2,0.305161926880701
1.5,2.2,0.294711467933089
1.6,2.2,0.283953887569876
1.7,2.2,0.272953098310999
1.8,2.2,0.261772047042064
1.9,2.2,0.250472130743657
2,2.2,0.239112661213502
2.1,2.2,0.227750384495425
2.2,2.2,0.216439059381017
2.3,2.2,0.205229097991383
2.4,2.2,0.194167270111906
2.5,2.2,0.183296471673909
2.6,2.2,0.172655556580834
2.7,2.2,0.162279229986025
2.8,2.2,0.152198000162604
2.9,2.2,0.1424381852764
3,2.2,0.133021970688746
0.1,2.3,0.377591485188245
0.2,2.3,0.376279678208065
0.3,2.3,0.374103923874099
0.4,2.3,0.371079967059222
0.5,2.3,0.367229571137379
0.6,2.3,0.362580244778158
0.7,2.3,0.357164899424388
0.8,2.3,0.351021443706684
0.9,2.3,0.344192322114748
1,2.3,0.336724006133166
1.1,2.3,0.328666446741177
1.2,2.3,0.320072497658897
1.3,2.3,0.310997318990818
1.4,2.3,0.30149777097111
1.5,2.3,0.291631807360443
1.6,2.3,0.281457877692512
1.7,2.3,0.271034347036844
1.8,2.3,0.260418941253761
1.9,2.3,0.249668224891847
2,2.3,0.238837117944753
2.1,2.3,0.227978456670783
2.2,2.3,0.217142602614349
2.3,2.3,0.206377102881249
2.4,2.3,0.195726403637135
2.5,2.3,0.185231617745544
2.6,2.3,0.174930346461117
2.7,2.3,0.164856554164718
2.8,2.3,0.155040494286188
2.9,2.3,0.145508683820016
3,2.3,0.136283923208207
0.1,2.4,0.369422328172662
0.2,2.4,0.368195532036596
0.3,2.4,0.366160321283384
0.4,2.4,0.363330750271099
0.5,2.4,0.359726257580003
0.6,2.4,0.355371433533169
0.7,2.4,0.350295728361835
0.8,2.4,0.344533106084247
0.9,2.4,0.338121650044415
1,2.4,0.33110312679755
1.1,2.4,0.323522515617123
1.2,2.4,0.31542751132429
1.3,2.4,0.306868008397997
1.4,2.4,0.297895574412422
1.5,2.4,0.288562920770978
1.6,2.4,0.278923378470588
1.7,2.4,0.269030386248005
1.8,2.4,0.258936997946538
1.9,2.4,0.248695415314349
2,2.4,0.23835655172441
2.1,2.4,0.227969631512437
2.2,2.4,0.217581828784629
2.3,2.4,0.207237948673849
2.4,2.4,0.196980153142329
2.5,2.4,0.186847732561328
2.6,2.4,0.176876923461906
2.7,2.4,0.167100772062563
2.8,2.4,0.157549042453004
2.9,2.4,0.148248167660127
3,2.4,0.139221241251261
0.1,2.5,0.36176037299766
0.2,2.5,0.360609804355898
0.3,2.5,0.358700662946065
0.4,2.5,0.356045555702501
0.5,2.5,0.352661929002077
0.6,2.5,0.34857186944386
0.7,2.5,0.343801853476713
0.8,2.5,0.338382450021053
0.9,2.5,0.332347980959074
1,2.5,0.325736144988561
1.1,2.5,0.318587610837149
1.2,2.5,0.310945586207739
1.3,2.5,0.302855369066675
1.4,2.5,0.294363887992478
1.5,2.5,0.285519238276287
1.6,2.5,0.276370220310627
1.7,2.5,0.266965886528971
1.8,2.5,0.257355102775411
1.9,2.5,0.247586129504739
2,2.5,0.237706227653105
2.1,2.5,0.227761293394342
2.2,2.5,0.217795525323768
2.3,2.5,0.207851126907109
2.4,2.5,0.197968046313776
2.5,2.5,0.188183755037587
2.6,2.5,0.178533066009025
2.7,2.5,0.169047991235174
2.8,2.5,0.159757638378584
2.9,2.5,0.150688145114553
3,2.5,0.141862649595964
0.1,2.6,0.354555318051826
0.2,2.6,0.353473411220571
0.3,2.6,0.351677865075784
0.4,2.6,0.349180039143968
0.5,2.6,0.345995661556299
0.6,2.6,0.342144657224053
0.7,2.6,0.337650931669825
0.8,2.6,0.332542113934909
0.9,2.6,0.326849262591378
1,2.6,0.320606539411078
1.1,2.6,0.31385085567303
1.2,2.6,0.30662149641857
1.3,2.6,0.298959728185193
1.4,2.6,0.290908395863667
1.5,2.6,0.282511514329261
1.6,2.6,0.273813860400152
1.7,2.6,0.264860570479995
1.8,2.6,0.255696748954941
1.9,2.6,0.246367092047841
2,2.6,0.23691553139505
2.1,2.6,0.227384901116454
2.2,2.6,0.217816631610069
2.3,2.6,0.208250472732314
2.4,2.6,0.198724248437079
2.5,2.6,0.189273644354175
2.6,2.6,0.179932029202929
2.7,2.6,0.170730310371074
2.8,2.6,0.161696823452809
2.9,2.6,0.152857255041967
3,2.6,0.144234597623866
0.1,2.7,0.347763566960744
0.2,2.7,0.346743765545552
0.3,2.7,0.345050999562859
0.4,2.7,0.342695547028872
0.5,2.7,0.339691645283377
0.6,2.7,0.336057341910589
0.7,2.7,0.331814307006455
0.8,2.7,0.326987609635984
0.9,2.7,0.32160546183562
1,2.7,0.315698933959681
1.1,2.7,0.309301645538601
1.2,2.7,0.302449436104079
1.3,2.7,0.295180020638108
1.4,2.7,0.287532634417429
1.5,2.7,0.279547672052125
1.6,2.7,0.271266325459108
1.7,2.7,0.262730225371987
1.8,2.7,0.253981090774065
1.9,2.7,0.245060390358055
2,2.7,0.236009019773067
2.1,2.7,0.22686699802588
2.2,2.7,0.217673185969636
2.3,2.7,0.208465029349349
2.4,2.7,0.199278328390765
2.5,2.7,0.19014703542755
2.6,2.7,0.181103081571673
2.7,2.7,0.17217623295267
2.8,2.7,0.163393976591826
2.9,2.7,0.154781435544885
3,2.7,0.146361312548235
0.1,2.8,0.34134712351869
0.2,2.8,0.340383713948383
0.3,2.8,0.338784299218359
0.4,2.8,0.336558214453885
0.5,2.8,0.333718396431912
0.6,2.8,0.330281253524793
0.7,2.8,0.326266501779094
0.8,2.8,0.321696969510659
0.9,2.8,0.316598373229692
1,2.8,0.310999068088132
1.1,2.8,0.304929776359417
1.2,2.8,0.298423297712783
1.3,2.8,0.29151420522702
1.4,2.8,0.284238531200148
1.5,2.8,0.276633446851549
1.6,2.8,0.268736939982891
1.7,2.8,0.260587494566612
1.8,2.8,0.252223776069795
1.9,2.8,0.243684326102551
2,2.8,0.235007269709757
2.1,2.8,0.226230038310632
2.2,2.8,0.217389110939981
2.3,2.8,0.208519776066366
2.4,2.8,0.199655915864452
2.5,2.8,0.190829814409907
2.6,2.8,0.182071990853597
2.7,2.8,0.17341105822548
2.8,2.8,0.164873608124644
2.9,2.8,0.15648412117709
3,2.8,0.148264902792756
0.1,2.9,0.335272700985996
0.2,2.9,0.33436067836326
0.3,2.9,0.332846352182012
0.4,2.9,0.330738231297129
0.5,2.9,0.328048112096571
0.6,2.9,0.324790964462478
0.7,2.9,0.320984787922154
0.8,2.9,0.316650439996136
0.9,2.9,0.311811439118666
1,2.9,0.306493744830094
1.1,2.9,0.300725518215717
1.2,2.9,0.29453686578697
1.3,2.9,0.287959570165642
1.4,2.9,0.281026811038177
1.5,2.9,0.273772879894514
1.6,2.9,0.266232892055148
1.7,2.9,0.258442499423007
1.8,2.9,0.250437607276506
1.9,2.9,0.242254098250677
2,2.9,0.233927566439659
2.1,2.9,0.225493064301632
2.2,2.9,0.216984864762705
2.3,2.9,0.208436240606051
2.4,2.9,0.199879262903365
2.5,2.9,0.19134461990457
2.6,2.9,0.182861457455242
2.7,2.9,0.174457241666078
2.8,2.9,0.166157644220974
2.9,2.9,0.157986450385503
3,2.9,0.149965489470873
0.1,3,0.329510998359669
0.2,3,0.328645957478189
0.3,3,0.327209444508202
0.4,3,0.325209240770834
0.5,3,0.322656137980836
0.6,3,0.319563837779265
0.7,3,0.315948824909372
0.8,3,0.311830215738201
0.9,3,0.307229584141237
1,3,0.30217076704653
1.1,3,0.296679652173466
1.2,3,0.290783950696178
1.3,3,0.28451295770981
1.4,3,0.277897303477859
1.5,3,0.270968698489876
